,variable,instances,pos_instances,neg_instances,percent_fraud
144,vic.gov.au,1,0.0,1.0,0.0
145,co.za,1,0.0,1.0,0.0
146,sa.gov.au,1,0.0,1.0,0.0
147,or.us,1,0.0,1.0,0.0
148,ashrae.org,1,0.0,1.0,0.0
149,hult.edu,1,0.0,1.0,0.0
150,stcwdc.org,1,0.0,1.0,0.0
151,nshmba.org,1,0.0,1.0,0.0
152,do,1,0.0,1.0,0.0
153,by,1,0.0,1.0,0.0
154,canon.com,2,0.0,2.0,0.0
155,com.tw,1,0.0,1.0,0.0
156,wlu.edu,1,0.0,1.0,0.0
157,am,1,0.0,1.0,0.0
158,af.mil,1,0.0,1.0,0.0
159,cityofsacramento.org,1,0.0,1.0,0.0
160,ecu.edu.au,1,0.0,1.0,0.0
161,com.cn,1,0.0,1.0,0.0
162,sccgov.org,1,0.0,1.0,0.0
163,gvsu.edu,1,0.0,1.0,0.0
164,psr.edu,1,0.0,1.0,0.0
165,ollusa.edu,1,0.0,1.0,0.0
166,gwu.edu,1,0.0,1.0,0.0
167,k12.mo.us,1,0.0,1.0,0.0
