,variable,instances,pos_instances,neg_instances,percent_fraud
141,usmc-mccs,1,0.0,1.0,0.0
142,intelligent,5,0.0,5.0,0.0
143,percona,1,0.0,1.0,0.0
144,mycrossroads,2,0.0,2.0,0.0
145,utah,1,0.0,1.0,0.0
146,makemomentum,1,0.0,1.0,0.0
147,msn,25,1.0,24.0,4.0
148,miracle,1,0.0,1.0,0.0
149,lisajae,1,0.0,1.0,0.0
150,foodsa,1,0.0,1.0,0.0
151,sdfilmfest,2,0.0,2.0,0.0
152,superstarmachine,3,0.0,3.0,0.0
153,casouthwark,3,0.0,3.0,0.0
154,thema1,1,0.0,1.0,0.0
155,qualitycareforchildren,4,0.0,4.0,0.0
156,pinellascounty,6,0.0,6.0,0.0
157,kimley-horn,2,0.0,2.0,0.0
158,calarts,7,0.0,7.0,0.0
159,videofest,1,0.0,1.0,0.0
160,nccucounseling,1,0.0,1.0,0.0
161,clear-focus,1,0.0,1.0,0.0
162,cfapress,1,0.0,1.0,0.0
163,theenergypros,1,0.0,1.0,0.0
164,treeoflife-events,6,0.0,6.0,0.0
165,elijahnow,1,0.0,1.0,0.0
166,leaderimpactgroup,10,0.0,10.0,0.0
167,gmai,1,0.0,1.0,0.0
168,parrishart,1,0.0,1.0,0.0
169,progressionpartnership,2,0.0,2.0,0.0
170,thefundingseed,2,0.0,2.0,0.0
171,impactorg,2,0.0,2.0,0.0
172,pediatricmanagementinstitute,1,0.0,1.0,0.0
173,generalassemb,58,0.0,58.0,0.0
174,njit,1,0.0,1.0,0.0
175,bigbearevents,1,0.0,1.0,0.0
176,compassnaturalmarketing,1,0.0,1.0,0.0
177,tedxguelphu,1,0.0,1.0,0.0
178,bulletproofexec,1,0.0,1.0,0.0
179,19sieunhan,3,3.0,0.0,100.0
180,mail,17,6.0,11.0,35.294117647058826
181,mindfullybeing,6,0.0,6.0,0.0
182,owldesk,1,0.0,1.0,0.0
183,wmb,1,0.0,1.0,0.0
184,growstalbert,1,0.0,1.0,0.0
185,kingstonchamber,8,0.0,8.0,0.0
186,brownbiz,1,0.0,1.0,0.0
187,4asdkids,1,1.0,0.0,100.0
188,anxdigital,1,0.0,1.0,0.0
189,acgsports,3,0.0,3.0,0.0
190,emgay,3,3.0,0.0,100.0
191,footprintsoflondon,7,0.0,7.0,0.0
192,arthurwhyte,1,0.0,1.0,0.0
193,servcorp,2,0.0,2.0,0.0
194,sippingnpainting,39,0.0,39.0,0.0
195,brookshealth,4,0.0,4.0,0.0
196,ecomn,3,0.0,3.0,0.0
197,dsicomedy,20,0.0,20.0,0.0
198,newlondonarchitecture,1,0.0,1.0,0.0
199,lancashiresport,1,0.0,1.0,0.0
200,officedrinks,2,0.0,2.0,0.0
201,e2k,2,0.0,2.0,0.0
202,celiacawarenesstour,1,0.0,1.0,0.0
203,kw,11,0.0,11.0,0.0
204,fullhousegroup,1,0.0,1.0,0.0
205,leightoncentre,5,0.0,5.0,0.0
206,karmamultisport,1,0.0,1.0,0.0
207,utoronto,5,0.0,5.0,0.0
208,me,76,4.0,72.0,5.2631578947368425
209,sonomavinfest,2,0.0,2.0,0.0
210,cruxriver,1,0.0,1.0,0.0
211,soulcraftbjj,1,0.0,1.0,0.0
212,linkshall,4,0.0,4.0,0.0
213,newfonts,2,0.0,2.0,0.0
214,macncheeseproductions,2,0.0,2.0,0.0
215,,11,0.0,11.0,0.0
216,spiritualitycentre,3,0.0,3.0,0.0
217,frontier,3,1.0,2.0,33.333333333333336
218,houseofmoments,1,0.0,1.0,0.0
219,greenhouseusa,1,0.0,1.0,0.0
220,mmaxfit,1,0.0,1.0,0.0
221,royalsociety,1,0.0,1.0,0.0
222,floridaventuresourcing,1,0.0,1.0,0.0
223,businesswest,3,0.0,3.0,0.0
224,cobaltconnects,1,0.0,1.0,0.0
225,fiercefit,1,0.0,1.0,0.0
226,dcccd,3,0.0,3.0,0.0
227,kungfusaloon,1,0.0,1.0,0.0
228,zigersnead,2,0.0,2.0,0.0
229,discodonniepresents,16,0.0,16.0,0.0
230,theworldtheatre,2,0.0,2.0,0.0
231,sjakeepingfaith,1,0.0,1.0,0.0
232,lmsom,1,0.0,1.0,0.0
233,gallery,2,0.0,2.0,0.0
234,totalwine,3,0.0,3.0,0.0
235,floridatomatoes,1,0.0,1.0,0.0
236,onlineimageworks,1,0.0,1.0,0.0
237,cooppower,1,0.0,1.0,0.0
238,summerwindsresorts,4,0.0,4.0,0.0
239,conservative,1,0.0,1.0,0.0
240,bnisydneycbd,2,0.0,2.0,0.0
241,bsecenter,3,0.0,3.0,0.0
242,iib,1,0.0,1.0,0.0
243,outlook,20,13.0,7.0,65.0
244,heroathome,1,0.0,1.0,0.0
245,thegarage,8,0.0,8.0,0.0
246,shu,4,0.0,4.0,0.0
247,vvbw,2,0.0,2.0,0.0
248,calgarychamber,4,0.0,4.0,0.0
249,wholefoods,18,0.0,18.0,0.0
250,glasgow,1,0.0,1.0,0.0
251,wichitaama,1,0.0,1.0,0.0
252,renegadebrewing,1,0.0,1.0,0.0
253,jumpnasiumparty,16,0.0,16.0,0.0
254,networkafterwork,7,0.0,7.0,0.0
255,momentummoves,1,0.0,1.0,0.0
256,bradleysunriserotary,1,0.0,1.0,0.0
257,fulbright,3,0.0,3.0,0.0
258,qutefs,3,0.0,3.0,0.0
259,thehills,3,0.0,3.0,0.0
260,shaw,28,0.0,28.0,0.0
261,communitysupportconnections,1,0.0,1.0,0.0
262,theabercrumbiegroup,1,0.0,1.0,0.0
263,americanphotosafari,15,0.0,15.0,0.0
264,maitaiglobal,2,0.0,2.0,0.0
265,claytonislandtours,37,0.0,37.0,0.0
266,smheartrelationships,1,0.0,1.0,0.0
267,sftng,1,0.0,1.0,0.0
268,nwcave,1,0.0,1.0,0.0
269,newfocusfinancial,2,0.0,2.0,0.0
270,pgaofwa,1,0.0,1.0,0.0
271,chestnutsquare,1,0.0,1.0,0.0
272,palmercoolumresort,1,0.0,1.0,0.0
273,lesfilmfestival,1,0.0,1.0,0.0
274,edgeqld,12,0.0,12.0,0.0
275,oxenford,1,0.0,1.0,0.0
276,sbacil,1,0.0,1.0,0.0
277,icloud,6,0.0,6.0,0.0
278,blackjacketgroup,9,0.0,9.0,0.0
279,clashsf,1,0.0,1.0,0.0
280,luinc,1,0.0,1.0,0.0
281,dcbmbaa,1,0.0,1.0,0.0
282,upprojects,5,0.0,5.0,0.0
283,alignandprofit,1,0.0,1.0,0.0
284,legroupeorange,1,0.0,1.0,0.0
285,claudiachan,3,0.0,3.0,0.0
286,thesafestep,1,0.0,1.0,0.0
287,gochurch,1,0.0,1.0,0.0
288,citybowls,1,0.0,1.0,0.0
289,gilroygarlicfestival,5,0.0,5.0,0.0
290,bravofourzero,1,0.0,1.0,0.0
291,jazzschool,8,0.0,8.0,0.0
292,improvboston,46,0.0,46.0,0.0
293,burrikikis-usa,1,0.0,1.0,0.0
294,cinecause,1,0.0,1.0,0.0
295,maroclancers,5,5.0,0.0,100.0
296,iascm,2,0.0,2.0,0.0
297,scottishritechicago,2,0.0,2.0,0.0
298,aeglive,6,0.0,6.0,0.0
299,mab-birmingham,1,0.0,1.0,0.0
300,dowellstute,2,0.0,2.0,0.0
301,berniegrantcentre,1,0.0,1.0,0.0
302,styledforsuccess,1,0.0,1.0,0.0
303,mojitosboston,1,0.0,1.0,0.0
304,sfbayadventures,2,0.0,2.0,0.0
305,vineandtable,1,0.0,1.0,0.0
306,southshorestars,1,0.0,1.0,0.0
307,napavalleymuseum,1,0.0,1.0,0.0
308,expogrupo,2,0.0,2.0,0.0
309,ncfje,1,0.0,1.0,0.0
310,synergyworldwide,2,0.0,2.0,0.0
311,pursueyourpurpose,1,0.0,1.0,0.0
312,ceasa,2,0.0,2.0,0.0
313,stereopathicmusic,1,0.0,1.0,0.0
314,funnyfest,4,0.0,4.0,0.0
315,tigztheatre,1,0.0,1.0,0.0
316,o-cinema,20,0.0,20.0,0.0
317,thumb-friendly,1,0.0,1.0,0.0
318,eliterecruitmentnetwork,1,0.0,1.0,0.0
319,littlescholarsllc,5,0.0,5.0,0.0
320,757makerspace,1,0.0,1.0,0.0
321,grhealthcare,1,0.0,1.0,0.0
322,lidf,35,35.0,0.0,100.0
323,fundingyourvision,1,0.0,1.0,0.0
324,arkansaspta,1,0.0,1.0,0.0
325,willrock4food,1,0.0,1.0,0.0
326,comba,4,0.0,4.0,0.0
327,rgblounge,1,0.0,1.0,0.0
328,ganoexcel,1,0.0,1.0,0.0
329,tstar,1,0.0,1.0,0.0
330,gdc,2,0.0,2.0,0.0
331,kgroup,1,0.0,1.0,0.0
332,marcedeslewis,1,0.0,1.0,0.0
333,baconsulting,1,0.0,1.0,0.0
334,idlewildbooks,1,0.0,1.0,0.0
335,trnty,4,0.0,4.0,0.0
336,loudounsbdc,6,0.0,6.0,0.0
337,orovalleychamber,1,0.0,1.0,0.0
338,dowgardens,1,0.0,1.0,0.0
339,svdp-alameda,1,0.0,1.0,0.0
340,betheltemple,2,0.0,2.0,0.0
341,nyu,9,0.0,9.0,0.0
342,dreambuildersnetwork,2,0.0,2.0,0.0
343,firstchurchorlando,2,0.0,2.0,0.0
344,workingtogetherproject,4,0.0,4.0,0.0
345,cindyguessford,1,0.0,1.0,0.0
346,donnellismybroker,1,0.0,1.0,0.0
347,baurhouse,1,0.0,1.0,0.0
348,afphq,5,0.0,5.0,0.0
349,unity3d,1,0.0,1.0,0.0
350,usfca,1,0.0,1.0,0.0
351,cloudva,1,0.0,1.0,0.0
352,carinascotland,1,0.0,1.0,0.0
353,wineandspiritwarehouse,2,0.0,2.0,0.0
354,gcase,2,2.0,0.0,100.0
355,renterswarehouse,1,0.0,1.0,0.0
356,jcpenney,1,0.0,1.0,0.0
357,checker,2,2.0,0.0,100.0
358,spinitar,1,0.0,1.0,0.0
359,startx,1,0.0,1.0,0.0
360,mindsharelearning,1,0.0,1.0,0.0
361,acfedc,1,0.0,1.0,0.0
362,upstatewinecountry,3,0.0,3.0,0.0
363,launchpadinw,1,0.0,1.0,0.0
364,crossfitatm,1,0.0,1.0,0.0
365,agourlay,2,0.0,2.0,0.0
366,reston,2,0.0,2.0,0.0
367,deckstar,3,0.0,3.0,0.0
368,the2half,1,1.0,0.0,100.0
369,socialtech,1,0.0,1.0,0.0
370,blueshoesmedia,1,0.0,1.0,0.0
371,radnorhunt-huntertrials,1,0.0,1.0,0.0
372,documentary,2,0.0,2.0,0.0
373,themoth,1,0.0,1.0,0.0
374,theofficenightclub,2,0.0,2.0,0.0
375,melmarkne,1,0.0,1.0,0.0
376,verizon,18,0.0,18.0,0.0
377,austin,3,0.0,3.0,0.0
378,growutahventures,1,0.0,1.0,0.0
379,yestolife,1,0.0,1.0,0.0
380,usc-canada,1,0.0,1.0,0.0
381,psucentex,1,0.0,1.0,0.0
382,seattlepartycamp,1,0.0,1.0,0.0
383,klub4kidz,1,0.0,1.0,0.0
384,unicity,2,0.0,2.0,0.0
385,onlinevents,6,0.0,6.0,0.0
386,petlover,1,1.0,0.0,100.0
387,murdocktheatre,4,0.0,4.0,0.0
388,usproperty,1,0.0,1.0,0.0
389,paredigm,1,0.0,1.0,0.0
390,onesix7productions,1,0.0,1.0,0.0
391,miphealth,1,0.0,1.0,0.0
392,busboysandpoets,21,0.0,21.0,0.0
393,del-mi,1,0.0,1.0,0.0
394,morestaurants,3,0.0,3.0,0.0
395,rocketmail,23,20.0,3.0,86.95652173913044
396,ham,11,0.0,11.0,0.0
397,comixentertainment,14,0.0,14.0,0.0
398,tcnj,2,0.0,2.0,0.0
399,greenedu,13,0.0,13.0,0.0
400,mountauburn,4,0.0,4.0,0.0
401,transportchicago,1,0.0,1.0,0.0
402,dbkassociates,2,0.0,2.0,0.0
403,gmaa,1,0.0,1.0,0.0
404,tekfreaks,1,0.0,1.0,0.0
405,rpoaonline,4,0.0,4.0,0.0
406,energyontario,1,0.0,1.0,0.0
407,ynotproductions,1,0.0,1.0,0.0
408,myapc,1,0.0,1.0,0.0
409,stclub,3,0.0,3.0,0.0
410,moxiipro,1,0.0,1.0,0.0
411,projectearthrock,1,0.0,1.0,0.0
412,firsttuesday,2,0.0,2.0,0.0
413,mocanomi,7,0.0,7.0,0.0
414,mh-training,1,0.0,1.0,0.0
415,woh,1,0.0,1.0,0.0
416,design3,1,0.0,1.0,0.0
417,futurestheatrecompany,1,0.0,1.0,0.0
418,software-acumen,2,0.0,2.0,0.0
419,co,3,0.0,3.0,0.0
420,voice-tribune,1,0.0,1.0,0.0
421,redcarpetmonday,1,0.0,1.0,0.0
422,morphtalent,2,0.0,2.0,0.0
423,ctlgc,3,0.0,3.0,0.0
424,peopleconnectstaffing,1,0.0,1.0,0.0
425,createlondon,3,0.0,3.0,0.0
426,henrymiller,4,0.0,4.0,0.0
427,youthspecialties,1,0.0,1.0,0.0
428,tudorplace,5,0.0,5.0,0.0
429,vt,1,0.0,1.0,0.0
430,sjearthquakes,1,0.0,1.0,0.0
431,peppercom,1,0.0,1.0,0.0
